slice,combo_kind,combo_size,combo,n,mean_surplus,median_surplus,bust_or_major_underperform_rate,underperform_rate,positive_surplus_rate,big_overperform_rate,mean_surplus_delta_vs_baseline,bust_rate_delta_vs_baseline,big_overperform_rate_delta_vs_baseline,example_players
xRAPM historical mature,risk,3,feel_iq_passing + creation_handle + finishing_touch,63,-0.23080304349117378,-0.1198360655737704,0.4126984126984127,0.5396825396825397,0.4603174603174603,0.25396825396825395,-0.3183108227088501,0.0713135495744191,-0.0697032436162871,Kevin Knox II | Patrick Williams | Jalen Green | Hasheem Thabeet | Vernon Carey Jr.
xRAPM historical top30,risk,3,shooting + upside_tools + risk_uncertainty,37,-0.22934321934862054,-0.3798360655737707,0.35135135135135137,0.6216216216216216,0.3783783783783784,0.16216216216216217,-0.30977384714410605,0.030455828963291687,-0.16868360898211643,James Wiseman | Fab Melo | James Bouknight | Tyler Honeycutt | Kevin Seraphin
xRAPM historical top30,risk,3,feel_iq_passing + athleticism_tools + production_stats,106,-0.2282840199990619,-0.21830768486256286,0.37735849056603776,0.5849056603773585,0.41509433962264153,0.25471698113207547,-0.30871464779454744,0.05646296817797808,-0.07612879001220313,James Wiseman | Kevin Knox II | Craig Brackins | Fab Melo | Patrick Williams
xRAPM historical top15,risk,3,feel_iq_passing + creation_handle + defense,43,-0.2256702369402128,-0.0389682539682539,0.37209302325581395,0.5348837209302325,0.46511627906976744,0.2558139534883721,-0.34042234474721483,0.07479572595851663,-0.09553739786297927,Kevin Knox II | Jonny Flynn | Jalen Green | Malik Monk | Jimmer Fredette
xRAPM historical mature,risk,3,creation_handle + defense + size_frame,78,-0.2237576921652638,-0.21655717282979264,0.3717948717948718,0.5769230769230769,0.4230769230769231,0.24358974358974358,-0.31126547138294014,0.03041000867087823,-0.08008175399479747,Kevin Knox II | Jonny Flynn | Tyler Lydon | Justin Harper | Vernon Carey Jr.
xRAPM historical top30,risk,3,shooting + athleticism_tools + injury_medical,40,-0.22300517683138396,-0.38671910805570253,0.375,0.575,0.425,0.225,-0.3034358046268695,0.054104477611940316,-0.1058457711442786,James Wiseman | Mfiondu Kabengele | Brice Johnson | Rashad Vaughn | Shabazz Muhammad
xRAPM historical top30,risk,3,feel_iq_passing + creation_handle + production_stats,60,-0.2228661844743243,-0.1896741303478609,0.4,0.5666666666666667,0.43333333333333335,0.3,-0.30329681226980987,0.07910447761194034,-0.03084577114427861,Kevin Knox II | Patrick Williams | Jalen Green | Trey Thompkins | Malik Monk
xRAPM historical top15,risk,3,creation_handle + defense + motor_competitiveness,35,-0.22087734369105597,-0.0289682539682538,0.3142857142857143,0.5142857142857142,0.4857142857142857,0.22857142857142856,-0.335629451498058,0.016988416988416966,-0.1227799227799228,Kevin Knox II | Jonny Flynn | Dragan Bender | Shabazz Muhammad | Noah Vonleh
xRAPM historical mature,risk,2,feel_iq_passing + creation_handle,163,-0.2200534821872818,-0.2595121951219514,0.4233128834355828,0.588957055214724,0.4110429447852761,0.27607361963190186,-0.3075612614049581,0.08192802031158924,-0.0475978779526392,Kevin Knox II | Josh Christopher | Jonny Flynn | Patrick Williams | Travis Leslie
xRAPM historical mature,risk,3,feel_iq_passing + upside_tools + production_stats,72,-0.21965056611455858,-0.24545414462081136,0.375,0.5833333333333334,0.4166666666666667,0.25,-0.30715834533223485,0.033615136876006424,-0.07367149758454106,James Wiseman | Kevin Knox II | Fab Melo | Patrick Williams | James Young
