slice,n,mean_actual_surplus,median_actual_surplus,bust_or_major_underperform_rate,underperform_rate,positive_surplus_rate,big_overperform_rate,pearson_net_prob_vs_surplus,spearman_net_prob_vs_surplus,pearson_pos_prob_vs_surplus,pearson_neg_prob_vs_surplus,auc_neg_prob_predicts_bust_major_underperform,auc_pos_prob_predicts_big_overperform,spearman_pick_vs_surplus
xRAPM historical mature,621,0.0875077792176763,-0.1558245614035089,0.3413848631239936,0.533011272141707,0.4669887278582931,0.32367149758454106,0.07348034503887947,0.07592693669654631,0.06358735461303153,-0.07255808066913427,0.5521751164829082,0.5199952617863066,-0.04116112174376139
xRAPM historical top15,185,0.11475210780700203,0.1142063492063494,0.2972972972972973,0.4702702702702703,0.5297297297297298,0.35135135135135137,0.01655034085733565,0.029984719079912153,0.011258429147712303,-0.018892174621631085,0.5471328671328671,0.47205128205128205,0.07362161204217554
xRAPM historical top30,402,0.08043062779548554,-0.04940215977101235,0.3208955223880597,0.5124378109452736,0.48756218905472637,0.3308457711442786,0.03264528695633726,0.04647157231332922,0.01257915453690964,-0.04768553375754277,0.543373938722776,0.4892528719568438,-0.05889715076197561
PIE available minutes weighted,633,0.004719406678940102,0.0051609449789597,0.0,0.42338072669826227,0.5766192733017378,0.0,0.10196833201782866,0.12065266698624334,0.11469118251460445,-0.07248257974707348,,,0.11962231842595902
PIE top15,200,0.0033072412410775644,0.003454618790708,0.0,0.45,0.55,0.0,0.058765500139551716,0.0901492537313433,0.037312872624411075,-0.06930480511365314,,,0.09897400792165711
PIE top30,425,0.0030480056432980896,0.0029768770570696,0.0,0.45647058823529413,0.5435294117647059,0.0,0.07653721526484508,0.11399602945084492,0.07872282283274257,-0.060885959945463704,,,0.03111788854514823
