slice,combo_kind,combo_size,combo,n,mean_surplus,median_surplus,bust_or_major_underperform_rate,underperform_rate,positive_surplus_rate,big_overperform_rate,mean_surplus_delta_vs_baseline,bust_rate_delta_vs_baseline,big_overperform_rate_delta_vs_baseline,example_players
xRAPM historical mature,positive,2,shooting + production_stats,420,0.09929840457635022,-0.1016519457245265,0.3404761904761905,0.5238095238095238,0.47619047619047616,0.3333333333333333,0.011790625358673923,-0.0009086726478030882,0.009661835748792258,Draymond Green | Stephen Curry | Franz Wagner | Immanuel Quickley | Paul George
xRAPM historical mature,positive,2,shooting + risk_uncertainty,20,0.367628008281765,-0.016587301587301498,0.2,0.55,0.45,0.4,0.28012022906408873,-0.14138486312399356,0.07632850241545897,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,2,shooting + intel_consensus,29,0.0819080863847567,-0.279512195121951,0.3448275862068966,0.5862068965517241,0.41379310344827586,0.3103448275862069,-0.005599692832919598,0.0034427230829029987,-0.01332666999833415,Donovan Mitchell | Kyle Anderson | Jusuf Nurkić | Donte DiVincenzo | CJ McCollum
xRAPM historical mature,positive,2,shooting + other,16,-0.6174092919955673,-0.6224941927990709,0.5,0.625,0.375,0.0625,-0.7049170712132435,0.15861513687600642,-0.26117149758454106,Kyle Singler | Elfrid Payton | Will Barton | Mike Scott | Reggie Bullock Jr.
xRAPM historical mature,positive,2,creation_handle + finishing_touch,152,-0.10215254109391869,-0.05988095238095225,0.3618421052631579,0.5197368421052632,0.48026315789473684,0.3157894736842105,-0.189660320311595,0.020457242139164333,-0.007882023900330548,Kawhi Leonard | Mitchell Robinson | Joel Embiid | Jayson Tatum | Ricky Rubio
xRAPM historical mature,positive,2,creation_handle + athleticism_tools,244,0.08449274168035222,-0.0016045407233932,0.3442622950819672,0.5,0.5,0.3483606557377049,-0.003015037537324086,0.0028774319579736307,0.02468915815316386,Kawhi Leonard | Stephen Curry | Immanuel Quickley | Mitchell Robinson | Joel Embiid
xRAPM historical mature,positive,2,creation_handle + upside_tools,121,-0.03671020723699778,-0.0056451612903223,0.34710743801652894,0.5041322314049587,0.49586776859504134,0.32231404958677684,-0.12421798645467408,0.005722574892535359,-0.0013574479977642162,Joel Embiid | Malcolm Brogdon | Nikola Mirotic | Dillon Brooks | Tyrese Haliburton
xRAPM historical mature,positive,2,creation_handle + defense,203,0.18315387521085652,0.1810317460317458,0.31527093596059114,0.4630541871921182,0.5369458128078818,0.3891625615763547,0.09564609599318022,-0.02611392716340244,0.06549106399181365,Kawhi Leonard | Stephen Curry | Immanuel Quickley | Mitchell Robinson | Joel Embiid
xRAPM historical mature,positive,2,creation_handle + motor_competitiveness,191,0.06282312004896107,0.0604761904761903,0.3612565445026178,0.49214659685863876,0.5078534031413613,0.35602094240837695,-0.024684659168715234,0.019871681378624217,0.03234944482383589,Kawhi Leonard | Stephen Curry | Immanuel Quickley | Mitchell Robinson | Joel Embiid
xRAPM historical mature,positive,2,creation_handle + size_frame,180,0.026016204226232256,0.07084656084656114,0.34444444444444444,0.4888888888888889,0.5111111111111111,0.3333333333333333,-0.061491574991444045,0.003059581320450866,0.009661835748792258,Stephen Curry | Mitchell Robinson | Joel Embiid | Malcolm Brogdon | Jayson Tatum
